,0,1,2,3,4,5,6,7,8,9
0,,0.6631089948535018,,0.8018948312019729,0.896642977213112,0.22629325317048268,0.2700164005073288,0.36324209806573465,,0.47960524261807386
1,0.6558917686735033,,0.4627181224576627,0.5855920942549668,0.6288038096889702,0.6468680069340672,0.28397082713354227,,,0.6069745599801484
2,0.7617901642031657,0.33357947080529654,0.6478934502239336,0.6383426377432468,0.582968247155628,0.03233059010641991,,0.7719316836567293,,0.7841389724459531
3,0.5690477033740088,,0.8968449720178131,0.2506041107785033,0.3008927120663575,0.8382698409131232,0.5696987398445056,0.7426123632045811,,0.3205111729624399
4,,,0.5673994876105155,0.6092491016708687,,0.4238707763392343,0.5076352487749621,,0.36811872018424674,0.6725887391745075
5,,0.25500764625692474,0.4312289813256208,0.5969399796880098,0.6961681610951976,,0.43382775958252173,,0.42551190366679364,0.46052912050332745
6,0.9429132296841451,0.05661317136075593,,0.1697864932172775,0.3338352390261127,0.40255293880408993,0.7842675214208924,,0.24782351391414684,0.027398789890236145
7,0.9918003554251736,,,,0.8545360209538656,0.12408128624177495,0.2921647589434919,0.40524907930210974,0.12957671568316162,0.6269417740582756
8,0.7348610612905772,0.6314640048004744,0.5122916550250317,,0.6262219972897891,0.3098713531365518,0.4171345043593489,0.457285437768267,0.34072100362837576,0.4780962657056544
9,0.5584159655500494,0.40805476248120426,,0.5653805148227264,0.47236771992143284,,0.6076618766478723,0.6772410744875761,0.592050525431376,0.7522639243329273
10,0.8714027043007987,,0.33554078558479994,,0.8028367332245203,,0.23910517626477754,0.26232371194199783,0.21276904945047784,0.4512595033779902
11,,0.20653070879829238,0.7567415659725023,0.274612772410235,0.28288052077427756,0.6200986535743633,,0.6553738116336677,,0.4023143683439668
12,0.5293868450462772,0.07984519829126488,0.7618419109441947,0.3916405072801879,,0.574747678053428,,0.6930851064442227,,0.5046886410366824
13,0.359764621256152,0.05250536857207318,1.0,0.10796638489009897,,,0.8561255636571826,0.8704244365999171,0.733614711347237,0.2617897006159229
14,0.8626002485114027,0.13907862864628837,0.5554982320062393,0.5359686874711714,0.578928466527942,0.3920719261813033,,,0.31629422167369764,0.41551783176428897
15,,0.25440370703392823,,,0.725067772304467,0.28036581982906816,,0.4872766768284745,,
16,0.8618451198029717,,,0.7898814281038046,0.8014377781043249,0.19274732643474263,0.405838617480069,0.6015707722975926,0.0748805654069476,
17,0.5026141068013075,,,,,,0.8979765146461994,0.8014276147222618,0.6957107281060407,0.6623784109966808
18,0.8004445033113463,0.240504309448324,0.5695524797588638,0.43513908586777583,0.6538899242376139,0.7572014568286245,0.24550766547429573,0.5057878871427322,,0.17324107992026364
19,0.8573857423507605,0.5291770494992574,0.18551233119191715,0.9750910019487778,0.9928072331997908,,0.16125428286181145,0.2807771125596866,0.2011922078430062,
20,,0.30467761829594564,0.6142712500368447,,,,0.570639135846671,0.6159587779463216,,0.6855697552993072
21,0.9340817541804376,,0.351280793531527,0.648381756145926,0.8072314107878594,0.5115532698145406,0.18614054110806522,,0.19974696137461395,0.3639671838418461
22,0.8379094660665788,0.31716821073190593,0.4699610050195313,0.5207543583675349,0.6366643662695859,,,0.45169820299915303,0.3622411720044232,0.171159823500999
23,0.792609336760713,0.7349287550544295,0.12712353056522357,,0.9114636798823018,0.2953873866385265,,0.16088678321233488,0.28488141277444035,0.7320645448750294
